language,age_group,actionable_steps
Tagalog,5 to 9 year old,"Kamusta! Habang ikaw ay lumalaki, mahalaga na malaman mo ang tungkol sa iyong katawan at kung paano mo mapapanatiling ligtas ang iyong sarili. Narito ang ilang bagay na makakatulong sa iyo na maging tiwala at ligtas habang ikaw ay tumatanda:
1. Ang iyong katawan ay sa iyo—ok lang na magsabi ng ""hindi"" kung may nagiging sanhi sa iyo ng hindi komportable.
2. Matutunan ang tamang pangalan para sa lahat ng bahagi ng iyong katawan upang makapag-usap ka ng malinaw tungkol dito.
3. Igagalang ang hangganan ng iba at humingi ng pahintulot bago humawak o yakapin ang isang tao.
4. Sabihin sa isang pinagkakatiwalaang matanda kung may humahawak sa iyo sa paraan na nagpaparamdam sa iyo ng pagkabahala.
5. Tukuyin ang mga pinagkakatiwalaang matanda na maaari mong kausapin kung mayroon kang mga tanong o alalahanin tungkol sa iyong katawan."
Tagalog,10 to 15 year old,"Habang pumapasok ka sa iyong mga taon ng kabataan, nagbabago ang iyong katawan at mga damdamin, at ito ay normal! Narito ang ilang payo upang matulungan kang pamahalaan ang kapanapanabik na panahong ito nang may tiwala:
1. Unawain ang mga pagbabago ng puberty upang maging tiwala sa iyong umuunlad na katawan.
2. Magbuo ng mga malusog na relasyon batay sa kapwa paggalang, tiwala, at komunikasyon.
3. Matutunan ang tungkol sa pahintulot, at malaman na mahalaga na laging humingi ng pahintulot at igalang ang desisyon ng iba.
4. Protektahan ang iyong privacy online at maging maingat sa pagbabahagi ng personal na impormasyon o larawan.
5. Paghiwalayin ang mga alamat mula sa katotohanan tungkol sa sex at relasyon, at maghanap ng tumpak na impormasyon mula sa pinagkakatiwalaang mga pinagmumulan."
Tagalog,16 to 19 year old,"Habang ikaw ay nagiging mas malaya, mahalaga na gumawa ng mga may kaalamang desisyon tungkol sa iyong sexual na kalusugan at relasyon. Narito ang ilang pangunahing bagay na dapat tandaan:
1. Gumamit ng proteksyon, tulad ng condom, upang maiwasan ang STIs at hindi inaasahang pagbubuntis kung ikaw ay aktibong nakikipagtalik.
2. Bigyan ng prioridad ang komunikasyon at kapwa paggalang sa mga sexual na relasyon.
3. Huwag hayaan na maimpluwensyahan ka ng pressure ng mga kaibigan sa iyong mga desisyon tungkol sa sex, alak, o droga.
4. Maging aware sa mga resources na available para sa impormasyon at suporta sa sexual na kalusugan.
5. Isaalang-alang ang pangmatagalang epekto ng iyong mga desisyon tungkol sa sex at relasyon."
Tagalog,20 to 24 year old,"Ngayon na ikaw ay isang kabataang adult, mayroon kang higit na responsibilidad para sa iyong sexual na kalusugan at relasyon. Narito ang ilang payo upang matulungan kang gumawa ng mga empowered na desisyon:
1. Gumawa ng mga may kaalamang desisyon tungkol sa sekswal na aktibidad, batay sa iyong mga pagpapahalaga, kagustuhan, at hangganan.
2. Mag-focus sa pagpapanatili ng malusog na sexual na relasyon sa pamamagitan ng kapwa paggalang, pahintulot, at komunikasyon.
3. Mag-schedule ng regular na check-up para sa sexual na kalusugan, kabilang ang mga pagsusuri para sa STIs.
4. Tuklasin ang iba't ibang mga pagpipilian sa contraceptive at piliin ang bagay na akma sa iyong lifestyle at pangangailangan.
5. Unawain at tanggapin ang iyong sexual na pagkakakilanlan at oryentasyon nang walang paghuhusga."
Tagalog,25 year old or above,"Bilang isang adult, ang pagpapanatili ng iyong sexual na kalusugan at relasyon ay isang patuloy na proseso. Narito ang ilang mga tips upang matiyak na ikaw ay nananatiling malusog at nasisiyahan:
1. Panatilihin ang patuloy na pangangalaga sa sexual na kalusugan, kabilang ang regular na pagsusuri para sa STIs at mga pag-uusap sa mga healthcare provider.
2. Panatilihin ang malusog at kasiya-siyang sexual na relasyon sa pamamagitan ng patuloy na komunikasyon at kapwa paggalang.
3. Maging informed tungkol sa mga pagpipilian sa reproductive health, kabilang ang pagpaplano ng pamilya at fertility.
4. Maghanap ng suporta para sa pamamahala ng mga pagbabago sa buhay na nakakaapekto sa sexual na kalusugan at relasyon.
5. Magsulong ng komprehensibong edukasyon sa sex at ibahagi ang tumpak na impormasyon sa iba."
Hiligaynon,5 to 9 year old,"Hello! Sa imo pagdako, importante nga mahibaluan mo ang bahin sang imo lawas kag paano ka maprotektahan ang imo kaugalingon. Ari ang pila ka butang nga makabulig sa imo nga magbaton kag magpabilin nga segurado samtang nagadako ka:
1. Ang imo lawas imo—ok lang nga magsiling sang ""hindi"" kon may naga pabor sa imo nga indi ka komportable.
2. Tuonon ang husto nga mga pangalan para sa tanan nga bahin sang imo lawas agud mahimo ka makistorya sini nga klaro.
3. Respitaron ang hangganan sang iban kag mangayo sang permiso antes maghapuhap ukon magyapos sa isa ka tawo.
4. Isugid sa isa ka ginatamdan nga adult kon may ara nga nagahapuhap sa imo nga nagahatag sa imo sang kakulba.
5. Tukion ang mga ginatamdan nga adult nga mahimo mo makastorya kon may mga pamangkot ukon kabalaka ka parte sa imo lawas."
Hiligaynon,10 to 15 year old,"Samtang nagasulod ka sa imo mga tin-edyer nga tuig, nagabago ang imo lawas kag mga pagbati, kag normal ini! Ari ang pila ka mga tambag nga makabulig sa imo nga magpadayon sa sini nga kapanapanabik nga panahon nga may kumpiyansa:
1. Sabton ang mga pagbag-o sang puberty agud magbaton ka nga komportable sa imo nagatubo nga lawas.
2. Magtukod sang malusog nga relasyon base sa pagrespeto, pagsalig, kag komunikasyon.
3. Tuonon ang bahin sang consent, kag hibaluon nga importante ang permihon kag respeto sa desisyon sang iban.
4. Protektahan ang imo privacy online kag maghalong sa pag-share sang personal nga impormasyon ukon mga larawan.
5. Ihiwalay ang mga mitos halin sa mga kamatuoran bahin sa sex kag relasyon, kag pangita sang eksaktong impormasyon halin sa mga pinagkakatiwalaan nga tinubdan."
Hiligaynon,16 to 19 year old,"Samtang nagahimo ka sang mas independyente nga desisyon, importante nga maghimo ka sang maalamon nga mga pagpili bahin sa imo sexual nga kahimsog kag relasyon. Ari ang pila ka mga butang nga dapat tandaan:
1. Gumamit sang proteksyon, pareho sang condom, agud malikawan ang STIs kag mga hindi plano nga pagbubuntis kon ikaw aktibo sa pakighilawas.
2. Bigyan sang prioridad ang komunikasyon kag kapwa pagrespeto sa mga sexual nga relasyon.
3. Indi pagpadala sa pressure sang mga barkada sa imo mga desisyon bahin sa sex, alak, ukon droga.
4. Maging aware sa mga resources nga available para sa impormasyon kag suporta bahin sa sexual nga kahimsog.
5. Isipon ang long-term nga epekto sang imo mga desisyon bahin sa sex kag relasyon."
Hiligaynon,20 to 24 year old,"Karon nga ikaw isa na ka kabataang adult, may ara ka na nga dugang nga responsibilidad para sa imo sexual nga kahimsog kag relasyon. Ari ang pila ka mga tambag agud maghimo ka sang empowered nga mga desisyon:
1. Maghimo sang mga maalamon nga desisyon bahin sa sekswal nga aktibidad, base sa imo mga prinsipyo, kagustuhan, kag hangganan.
2. Mag-focus sa pagpabilin sang malusog nga sexual nga relasyon paagi sa kapwa pagrespeto, consent, kag komunikasyon.
3. Mag-schedule sang regular nga check-up para sa sexual nga kahimsog, lakip na ang mga pagsusuri para sa STIs.
4. Tukion ang lain-lain nga contraceptive options kag pili-a ang bagay nga angkop sa imo lifestyle kag panginahanglan.
5. Sabton kag pagbaton ang imo sexual nga pagkakilanlan kag oryentasyon nga wala sang paghuhusga."
Hiligaynon,25 year old or above,"Bilang adult, ang pagmentinar sang imo sexual nga kahimsog kag relasyon isa ka padayon nga proseso. Ari ang pila ka mga tips agud masiguro nga ikaw magapabilin nga malusog kag kontento:
1. Panatilihon ang padayon nga pag-atiman sa sexual nga kahimsog, lakip na ang regular nga pagsusuri para sa STIs kag mga pag-isturyahan sa healthcare providers.
2. Panatilihon ang malusog kag malipayong sexual nga relasyon paagi sa padayon nga komunikasyon kag kapwa pagrespeto.
3. Magpabilin nga updated bahin sa mga pagpipilian sa reproductive health, lakip na ang family planning kag fertility.
4. Pangitaa ang suporta para sa pagdumala sang mga pagbabago sa kabuhi nga nagaka-apekto sa sexual nga kahimsog kag relasyon.
5. I-promote ang komprehensibo nga edukasyon sa sex kag ipaambit ang eksaktong impormasyon sa iban."
