language,chosen_advocacy,description
English,Access to Contraception and Reproductive Health Services,"Access to Contraception and Reproductive Health Services is essential for individuals to manage their sexual and reproductive health effectively. This advocacy focuses on ensuring that everyone, regardless of age, gender, or socioeconomic status, has access to affordable and reliable contraception, family planning services, and comprehensive reproductive health care. This includes educating the public on available options and addressing barriers to access."
English,Comprehensive Sex Education (CSE),"Comprehensive Sex Education (CSE) provides young people with the knowledge, skills, and values they need to make informed decisions about their sexual and reproductive health. CSE covers a wide range of topics, including human development, relationships, decision-making, abstinence, contraception, and disease prevention. The goal is to equip individuals with accurate information, foster responsible behavior, and promote respect for oneself and others."
English,Consent and Healthy Relationships,"Consent and Healthy Relationships education emphasizes the importance of mutual respect, clear communication, and understanding boundaries in all types of relationships. This advocacy teaches individuals about the necessity of obtaining and giving consent, recognizing unhealthy behaviors, and fostering relationships built on trust, equality, and open communication."
English,Sexual Orientation and Gender Identity,"Sexual Orientation and Gender Identity advocacy aims to create an inclusive environment where individuals feel safe and supported in expressing their true selves. This includes educating the public about the diversity of sexual orientations and gender identities, challenging discrimination and stigma, and promoting the rights and well-being of LGBTQ+ individuals."
English,Sexual Health and Rights,"Sexual Health and Rights focus on the right of all individuals to make decisions about their sexual and reproductive health free from coercion, discrimination, and violence. This advocacy promotes access to sexual health services, education, and the protection of individuals' rights to express their sexuality safely and respectfully."
English,Sexual Violence Prevention and Support,"Sexual Violence Prevention and Support involves strategies to prevent sexual violence and provide support for survivors. This advocacy includes education on recognizing and preventing sexual violence, offering resources for survivors, and creating a culture of accountability and respect that discourages harmful behaviors."
English,Parental and Caregiver Involvement,"Parental and Caregiver Involvement in sexual health education is crucial for reinforcing positive messages and ensuring young people receive consistent guidance. This advocacy encourages open communication between parents, caregivers, and youth about sexual health and relationships, providing the tools and knowledge needed to support healthy development."
English,Equity and Access,"Equity and Access in sexual health focuses on ensuring that all individuals have fair access to sexual health information, services, and education, regardless of their background, identity, or circumstances. This advocacy seeks to eliminate disparities and promote inclusive policies that provide everyone with the resources they need to make informed decisions about their sexual and reproductive health."
Cebuano,Access to Contraception and Reproductive Health Services,"Pag-access sa Kontrasepsyon ug mga Serbisyo sa Reproductive Health kay importante alang sa mga indibidwal aron epektibo nilang ma-manage ang ilang sekswal ug reproductive health. Ang kini nga adbokasiya nagpunting sa pagsiguro nga ang tanan, bisan unsa pa ang edad, gender, o socioeconomic status, adunay access sa ma-affordable ug kasaligan nga kontrasepsyon, mga serbisyo sa family planning, ug komprehensibong reproductive health care. Apil niini ang pag-edukar sa publiko sa mga magamit nga opsyon ug pagtubag sa mga babag sa access."
Cebuano,Comprehensive Sex Education (CSE),"Komprehensibong Edukasyon sa Sekswalidad (CSE) naghatag sa mga batan-on sa kahibalo, mga kahanas, ug mga value nga ilang gikinahanglan aron makabuhat ug masinati nga mga desisyon bahin sa ilang sekswal ug reproductive health. Ang CSE naglakip sa daghang mga hilisgutan, lakip na ang human development, mga relasyon, pagbuot, abstinence, kontrasepsyon, ug pagpugong sa sakit. Ang tumong mao ang pag-andam sa mga indibidwal uban ang husto nga impormasyon, pagpakusog sa responsable nga pamatasan, ug pag-promote sa pagrespeto sa kaugalingon ug sa uban."
Cebuano,Consent and Healthy Relationships,"Edukasyon sa Pagsugot ug Maayong Relasyon nagpasabot sa kahalagahan sa usag-usa nga pagrespeto, klarong komunikasyon, ug pagsabot sa mga boundary sa tanang matang sa relasyon. Ang kini nga adbokasiya nagtudlo sa mga indibidwal bahin sa kahinungdanon sa pagkuha ug paghatag sa pagsugot, pagkilala sa dili maayong mga pamatasan, ug pagpalambo sa mga relasyon nga nakabatay sa pagsalig, pagkakapareho, ug bukas nga komunikasyon."
Cebuano,Sexual Orientation and Gender Identity,"Advocacy sa Sekswal nga Oriyentasyon ug Gender Identity nagtinguha sa paghimog usa ka inclusive nga palibot diin ang mga indibidwal makabati nga luwas ug suportado sa pagpahayag sa ilang tinuod nga kaugalingon. Apil niini ang pag-edukar sa publiko bahin sa pagkadiverse sa mga sekswal nga oryentasyon ug gender identities, pag-challenge sa diskriminasyon ug stigma, ug pag-promote sa mga katungod ug kaayohan sa mga indibidwal nga LGBTQ+."
Cebuano,Sexual Health and Rights,"Sekswal nga Panglawas ug mga Katungod nagpunting sa katungod sa tanang indibidwal sa pagbuot bahin sa ilang sekswal ug reproductive health nga gawas sa coercion, diskriminasyon, ug bayolensya. Ang kini nga adbokasiya nag-promote sa access sa mga serbisyo sa sekswal nga panglawas, edukasyon, ug ang pagpanalipod sa mga katungod sa mga indibidwal aron ipahayag ang ilang sekswalidad sa luwas ug maukway nga paagi."
Cebuano,Sexual Violence Prevention and Support,"Paglikay sa Sekswal nga Bayolensya ug Suporta naglakip sa mga estratehiya aron mapugngan ang sekswal nga bayolensya ug maghatag ug suporta para sa mga nakasulay niini. Ang kini nga adbokasiya naglakip sa edukasyon sa pagkilala ug paglikay sa sekswal nga bayolensya, paghatag ug mga kapanguhaan para sa mga nakasulay, ug paghimog kultura sa accountability ug pagrespeto nga nagdili sa mga daotang pamatasan."
Cebuano,Parental and Caregiver Involvement,"Pag-apil sa mga Ginikanan ug Mga Tag-atiman sa edukasyon sa sekswal nga panglawas kay importante alang sa pagpalig-on sa mga positibong mensahe ug pagsiguro nga ang mga batan-on makadawat ug parehas nga giya. Ang kini nga adbokasiya nag-awhag sa bukas nga komunikasyon tali sa mga ginikanan, mga tag-atiman, ug mga batan-on bahin sa sekswal nga panglawas ug mga relasyon, nga naghatag sa mga himan ug kahibalo nga gikinahanglan aron masuportahan ang maayong pag-uswag."
Cebuano,Equity and Access,"Pagkaparihas ug Access sa sekswal nga panglawas nagpunting sa pagsiguro nga ang tanang indibidwal adunay patas nga access sa impormasyon, mga serbisyo, ug edukasyon sa sekswal nga panglawas, bisan unsa pa ang ilang background, identidad, o mga kahimtang. Ang kini nga adbokasiya nagtinguha sa pagwagtang sa disparities ug pag-promote sa inclusive nga mga polisiya nga naghatag sa tanan sa mga kapanguhaan nga gikinahanglan aron makabuhat ug masinati nga mga desisyon bahin sa ilang sekswal ug reproductive health."
